Families
Acanthaceae Juss. 
Achariaceae Harms 
Achatocarpaceae Heimerl 
Acoraceae Martinov 
Actinidiaceae Engl. & Gilg 
Aextoxicaceae Engl. & Gilg 
Aizoaceae Martinov 
Alismataceae Vent. 
Alstroemeriaceae Dumort. 
Altingiaceae Horan. 
Alzateaceae S.A. Graham 
Amaranthaceae Juss. 
Amaryllidaceae J. St.-Hil. 
Anacampserotaceae Eggli & Nyffeler 
Anacardiaceae R. Br. 
Anemiaceae Link 
Anisophylleaceae Ridl. 
Annonaceae Juss. 
Apiaceae Lindl. 
Apocynaceae Juss. 
Apodanthaceae Tiegh. ex Takht. 
Aquifoliaceae Bercht. & J. Presl 
Araceae Juss. 
Araliaceae Juss. 
Araucariaceae Henkel & W. Hochst. 
Arecaceae Bercht. & J. Presl 
Aristolochiaceae Juss. 
Arthropteridaceae H.M. Liu, Hovenkamp & H. Schneid. 
Asparagaceae Juss. 
Asphodelaceae Juss. 
Aspleniaceae Newman 
Asteliaceae Dumort. 
Asteraceae Bercht. & J. Presl 
Atherospermataceae R. Br. 
Athyriaceae Alston 
Balanophoraceae Rich. 
Balsaminaceae A. Rich. 
Basellaceae Raf. 
Bataceae Mart. ex Perleb 
Begoniaceae C. Agardh 
Berberidaceae Juss. 
Berberidopsidaceae Takht. 
Betulaceae Gray 
Bignoniaceae Juss. 
Bixaceae Kunth 
Blechnaceae Newman 
Bonnetiaceae L. Beauvis. ex Nakai 
Boraginaceae Juss. 
Brassicaceae Burnett 
Bromeliaceae Juss. 
Brunelliaceae Engl. 
Burmanniaceae Blume 
Burseraceae Kunth 
Buxaceae Dumort. 
Cabombaceae Rich. ex A. Rich. 
Cactaceae Juss. 
Calceolariaceae Olmstead 
Calophyllaceae J. Agardh 
Calycanthaceae Lindl. 
Calyceraceae R. Br. ex Rich. 
Campanulaceae Juss. 
Canellaceae Mart. 
Cannabaceae Martinov 
Cannaceae Juss. 
Capparaceae Juss. 
Caprifoliaceae Juss. 
Cardiopteridaceae Blume 
Caricaceae Dumort. 
Caryocaraceae Voigt 
Caryophyllaceae Juss. 
Celastraceae R. Br. 
Ceratophyllaceae Gray 
Chloranthaceae R. Br. ex Sims 
Chrysobalanaceae R. Br. 
Cibotiaceae Korall 
Cistaceae Juss. 
Cleomaceae Bercht. & J. Presl 
Clethraceae Klotzsch 
Clusiaceae Lindl. 
Colchicaceae DC. 
Columelliaceae D. Don 
