Family;Genus;Species;Taxonomic.status;UpdatedFamily;Checked_Genus;Checked_Epithet;UpdatedPlantSpecies;Fruit type;Fruit length (mm);Fruit diameter (mm);Fruit weight (g);Mean number of seeds per fruit;Seed length (mm);Seed diameter (mm);Seed weight (g);Wood  density g/cm³;Wood density level;Tree size max;Diameter breast height (cm);Megafauna Fruit ;Mean Dispersal Distance (m);Max Dispersal Distance (m);Lat;Long;Biome;Country;Agouti species;Study focus;Methods for asseing dispersal;Seed monitoring time;Predation;Dispersal;Burial;Germination;Frugivory;Year;Citation;Full citation
Apocynaceae;Hancornia;Hancornia speciosa;Accepted;Apocynaceae;Hancornia;speciosa;Hancornia speciosa;;;;;;;;0,33;;Species;;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Rutaceae;Hortia;Hortia brasiliana;Accepted;Rutaceae;Hortia;brasiliana;Hortia brasiliana;;12;12;;;7;4;0,05;1,02;Species;20;15;No;;;8° 00' S;35° 00' W;Atlantic Forest;Brazil;Dasyprocta prymnolopha;Plant;Visual observation;;x;N;;;;2003;"Melo; Tabarelli, 2003";"Melo, F.P.L.; Tabarelli, M. 2003. Seed Dispersal and Demography of Pioneer Trees: The Case of Hortia arborea. Plant Biology 5(4), pp. 359-365."
Sapindaceae;Melicoccus;Melicoccus lepidopetalus;Accepted;Sapindaceae;Melicoccus;lepidopetalus;Melicoccus lepidopetalus;;;;;;;;1,3;0,98;Species;18;;;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Lecythidaceae;Eschweleira;Eschweilera ovata;Accepted;Lecythidaceae;Eschweilera;ovata;Eschweilera ovata;;21;50;;2,5;30;20;6,6;0,965;Species;18;55;Yes;;;13° 50' S;39° 10' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant;Visual observation/Line;;;;;;x;2012;Vilela et al., 2012;"Vilela, F.S.; Flesher, K.M.; Ramalho, M. 2012. Dispersal and predation of Eschweilera ovata seeds in the Atlantic Forest of Southern Bahia, Brazil. Journal of Tropical Ecology 28(2), pp. 223-226."
Lecythidaceae;Eschweilera;Eschweilera ovata;Accepted;Lecythidaceae;Eschweilera;ovata;Eschweilera ovata;;21;50;;2,5;26;26;6,6;0,965;Species;18;55;Yes;;;13° 49' S;39° 08' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant;Line;;x;x;x;;;2008;Vilela, F. D. S, 2008;Vilela, F. D. S. (2008). Influência da predação e da dispersão de sementes sobre o recrutamento de plântulas de biriba (Eschweilera ovata, Lecythidaceae), na Atlantic Forest, Reserva Ecológica da Michelin, BA.
Arecaceae;Acrocomia;Acrocomia aculeata;Accepted;Arecaceae;Acrocomia;aculeata;Acrocomia aculeata;;42,5;35;;1;31,6;31,6;6,4;0,962;Species;15;25;Yes;;;18° 59' S;56° 39' W;Pantanal;Brazil;Dasyprocta azarae;Agouti;;;;;;;;2013;Cid et al., 2013;"Cid, Bruno; Oliveira-Santos, Luiz Gustavo R.; Mourao, Guilherme 2013 Seasonal Habitat Use of Agoutis (dasyprocta Azarae) Is Driven by the Palm Attalea Phalerata in Brazilian Pantanal Biotropica"
Lythraceae;Lafoensia;Lafoensia glyptocarpa;Accepted;Lythraceae;Lafoensia;glyptocarpa;Lafoensia glyptocarpa;;42;30;;;20;10;0,02;0,96;Species;25;45;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Sapotaceae;Pouteria;Pouteria guianensis;Accepted;Sapotaceae;Pouteria;guianensis;Pouteria guianensis;;;;;;;;3,3535;0,924375;Species;40;;;;;1° 59' N;59° 43' W;Amazon;Guyana;Dasyprocta leporina;Plants;;;;;;;;2018;Cummings et al., 2018;Cummings, A. R., Read, J. M., & Fragoso, J. M. (2018). Implications of forest type and land tenure diversity for the sustainability of ecosystem services provided by northern Amazonia’s multiple-use tree species. Landscape ecology, 33(3), 423-438.
Fabaceae;Dipteryx;Dipteryx odorata;Accepted;Leguminosae;Dipteryx;odorata;Dipteryx odorata;;;;;;;;6;0,92;Species;37;;;;;;;;Guyana;Dasyprocta leporina;;;;;;;;;1992;Polak (1992);Polak, A. M. (1992). Major timber trees of Guyana: a field guide.
Fabaceae;Vouacapoua;Vouacapoua americana;Accepted;Leguminosae;Vouacapoua;americana;Vouacapoua americana;;72;40;48,2;;49;34;32,6;0,91;Species;45;75;Yes;7;22,4;4° 02' N;52° 42' W;;French Guian;Dasyprocta leporina;Rodents/Plant;Flagged line;;x;x;x;x;;1990;Forget, 1990;Forget, P.-M. 1990. Seed-dispersal of Vouacapoua americana (Caesalpiniaceae) by caviomorph rodents in french guiana. Journal of Tropical Ecology 6(4), pp. 459-468.
