Family;Genus;Species;Fruit type;Fruit length (mm);Fruit diameter (mm);Fruit weight (g);Mean number of seeds per fruit;Seed length (mm);Seed diameter (mm);Seed weight (g);Wood  density g/cm³;Tree size max;Diameter breast height (cm);Megafauna Fruit ;Mean Dispersal Distance (m);Max Dispersal Distance (m);Lat;Long;Biome;Country;Agouti species;Study focus;Methods for asseing dispersal;Seed monioring time;Predation;Dispersal;Burial;Germination;Frugivory;Year;Citation;Full citation
Moraceae;Ficus;Ficus gomelleira;;;;;;;;0,01;0,39;;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Myrtaceae;Psidium;Psidium nutans;;;;;;;;0,016;;;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Lythraceae;Lafoensia;Lafoensia glyptocarpa;;42;30;;;20;10;0,02;0,96;25;45;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Fabaceae;Piptadenia;Piptadenia gonoacantha;;;;;;10;6;0,042;0,63;20;;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Malvaceae;Guazuma;Guazuma ulmifolia;;;;;;;;0,05;0,5;;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Rutaceae;Hortia;Hortia brasiliana;;12;12;;;7;4;0,05;1,02;5;15;No;;;8° 00' S;35° 00' W;Atlantic Forest;Brazil;Dasyprocta prymnolopha;Plant;Visual observation;;x;N;;;x;2003;"Melo; Tabarelli, 2003";"Melo, F.P.L.; Tabarelli, M. 2003. Seed Dispersal and Demography of Pioneer Trees: The Case of Hortia arborea. Plant Biology 5(4), pp. 359-365."
Fabaceae;Cassia;Cassia ferruginea;Legume;300;20;;60;8;5;0,07;0,51;15;50;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Annonaceae;Xylopia;Xylopia brasiliensis;;26;4,5;;;5,8;4,1;0,07;0,7;30;40;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Dilleniaceae;Doliocarpus;Doliocarpus olivaceus;;;;;;;;0,095;0,47;;;No;;;;;;;Dasyprocta sp.;;;;x;;;;;1998;Forget et al., 1998;Forget, P.-M., Milleron, T. & Feer, F. 1998. Patterns in postdispersal seed removal by Neotropical rodents and seed fate in relation with seed size. In: Newbery, D.M., Prins, H.H.T. & Brown, N.D. (eds.) Dynamics of tropical communities, Symposium No. 37 of the British Ecological Society. Blackwell Science, Oxford.
Boraginaceae;Cordia;Cordia bicolor;;;;;;;;0,1;0,53;;;No;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;;;;;;;;2007;Beckman & Muller-Landau (2007);"Beckman, Noelle G.; Muller-Landau, Helene C. 2007 Differential Effects of Hunting On Pre-dispersal Seed Predation and Primary and Secondary Seed Removal of Two Neotropical Tree Species Biotropica"
