Species.Original.Name;TaxonomicStatus;UpdatedPlantFamily;UpdatedPlantGenus;UpdatedPlantEphitet;UpdatedPlantSpecies;Frugivore.Genus;Frugivore.Species;Seed.width.mm.;Wood.density.g.cm3;Wood.density.level;Seed.weigh.g;Tree.size.max.m;nwd;nsw;nts;Full.Citation
Abuta selloa;Accepted;Menispermaceae;Abuta;selloana;Abuta selloana;Brachyteles;Brachyteles arachnoides;5;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Abuta selloana;Accepted;Menispermaceae;Abuta;selloana;Abuta selloana;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Acacia grandistipula;Accepted;Leguminosae;Acacia;grandistipula;Acacia grandistipula;Brachyteles;Brachyteles arachnoides;13;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Acalypha alopecuroides;Synonym;Euphorbiaceae;Acalypha;alopecuroides;Acalypha alopecuroides;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Barcelos, A. R., Bobrowiec, P. E. D., Sanaiotti, T. M., & Gribel, R. (2013). Seed germination from lowland tapir (Tapirus terrestris) fecal samples collected during the dry season in the northern Brazilian Amazon. Integrative zoology, 8(1), 63-73.
Aciotis acuminifolia;Synonym;Melastomataceae;Aciotis;acuminifolia;Aciotis acuminifolia;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Barcelos, A. R., Bobrowiec, P. E. D., Sanaiotti, T. M., & Gribel, R. (2013). Seed germination from lowland tapir (Tapirus terrestris) fecal samples collected during the dry season in the northern Brazilian Amazon. Integrative zoology, 8(1), 63-73.
Acrocomia aculeata;Synonym;Arecaceae;Acrocomia;aculeata;Acrocomia aculeata;Tapirus;Tapirus bairdii;NA;NA;;NA;NA;NA;NA;NA;O'FARRILL, G., Galetti, M., & CAMPOS?ARCEIZ, A. (2013). Frugivory and seed dispersal by tapirs: an insight on their ecological role. Integrative zoology, 8(1), 4-17.
Acrocomia aculeata;Accepted;Arecaceae;Acrocomia;aculeata;Acrocomia aculeata;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Zorzi, B. T. (2009). Frugivoria por Tapirus terrestris em três regiões do Pantanal, Brasil.
Acrocomia aculeata;Accepted;Arecaceae;Acrocomia;aculeata;Acrocomia aculeata;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Zorzi, B. T. (2009). Frugivoria por Tapirus terrestris em três regiões do Pantanal, Brasil.
Acrocomia aculeata;Accepted;Arecaceae;Acrocomia;aculeata;Acrocomia aculeata;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Tófoli, C. F. D. (2006). Frugivoria e dispersão de sementes por Tapirus terrestris (Linnaeus, 1758) na paisagem fragmentada do Pontal do Paranapanema, São Paulo (Doctoral dissertation, Universidade de São Paulo).
Allagoptera leucocalyx;Accepted;Arecaceae;Allagoptera;leucocalyx;Allagoptera leucocalyx;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Zorzi, B. T. (2009). Frugivoria por Tapirus terrestris em três regiões do Pantanal, Brasil.
Allagoptera leucocalyx;Accepted;Arecaceae;Allagoptera;leucocalyx;Allagoptera leucocalyx;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Zorzi, B. T. (2009). Frugivoria por Tapirus terrestris em três regiões do Pantanal, Brasil.
Polyandrococos caudescens;Synonym;Arecaceae;Allagoptera;caudescens;Allagoptera caudescens;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Seibert, J. B. (2015). Padrão de frugivoria de Tapirus terrestris na Mata Atlântica do norte do Espírito Santo, Brasil (Doctoral dissertation, Dissertação de mestrado em Biologia Animal. Universidade Federal do Espírito Santo, Espírito Santo, Brasil).
Anomoctenium granulosum;Synonym;Bignoniaceae;Amphilophium;granulosum;Amphilophium granulosum;Ateles;Ateles spp.;NA;NA;;NA;NA;NA;NA;NA;Russo, S. E., Campbell, C. J., Dew, J. L., Stevenson, P. R., & Suarez, S. A. (2005). A multi-forest comparison of dietary preferences and seed dispersal by Ateles spp.Â Intertiol jourl of Primatology,Â 26(5), 1017-1037.
Ananas ananassoides;Accepted;Bromeliaceae;Ananas;ananassoides;Ananas ananassoides;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Barcelos, A. R., Bobrowiec, P. E. D., Sanaiotti, T. M., & Gribel, R. (2013). Seed germination from lowland tapir (Tapirus terrestris) fecal samples collected during the dry season in the northern Brazilian Amazon. Integrative zoology, 8(1), 63-73.
Annona coriacea;Accepted;Annonaceae;Annona;coriacea;Annona coriacea;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Zorzi, B. T. (2009). Frugivoria por Tapirus terrestris em três regiões do Pantanal, Brasil.
Annona coriacea;Accepted;Annonaceae;Annona;coriacea;Annona coriacea;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Zorzi, B. T. (2009). Frugivoria por Tapirus terrestris em três regiões do Pantanal, Brasil.
Annona cornifolia;Accepted;Annonaceae;Annona;cornifolia;Annona cornifolia;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Zorzi, B. T. (2009). Frugivoria por Tapirus terrestris em três regiões do Pantanal, Brasil.
Annona cornifolia;Accepted;Annonaceae;Annona;cornifolia;Annona cornifolia;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Zorzi, B. T. (2009). Frugivoria por Tapirus terrestris em três regiões do Pantanal, Brasil.
Annona danforthii;Accepted;Annonaceae;Annona;danforthii;Annona danforthii;Brachyteles;Brachyteles hypoxanthus;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Annona dioica;Accepted;Annonaceae;Annona;dioica;Annona dioica;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Zorzi, B. T. (2009). Frugivoria por Tapirus terrestris em três regiões do Pantanal, Brasil.
Annona dioica;Accepted;Annonaceae;Annona;dioica;Annona dioica;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Zorzi, B. T. (2009). Frugivoria por Tapirus terrestris em três regiões do Pantanal, Brasil.
Anomospermum reticulatum;Accepted;Menispermaceae;Anomospermum;reticulatum;Anomospermum reticulatum;Ateles;Ateles belzebuth;NA;NA;;NA;NA;NA;NA;NA;Castellanos, H. G., & Chanin, P. (1996).Â Seasol Differences in Food Choice and Patch Preference of Long-Haired Spider Monkeys (Ateles belzebuth). Adaptive Radiations of Neotropical Primates, 451â€“466.Â doi:10.1007/978-1-4419-8770-9_26Â 
Anomospermum reticulatum;Accepted;Menispermaceae;Anomospermum;reticulatum;Anomospermum reticulatum;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Tobler, M. W., Janovec, J. P., & Cornejo, F. (2010). Frugivory and seed dispersal by the lowland tapir Tapirus terrestris in the Peruvian Amazon. Biotropica, 42(2), 215-222.
Anthurium harrisii;Accepted;Araceae;Anthurium;harrisii;Anthurium harrisii;Tapirus;Tapirus terrestris;10;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Anthurium harrisii;Accepted;Araceae;Anthurium;harrisii;Anthurium harrisii;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Astrocaryum jauari;Accepted;Arecaceae;Astrocaryum;jauari;Astrocaryum jauari;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Barcelos, A. R., Bobrowiec, P. E. D., Sanaiotti, T. M., & Gribel, R. (2013). Seed germination from lowland tapir (Tapirus terrestris) fecal samples collected during the dry season in the northern Brazilian Amazon. Integrative zoology, 8(1), 63-73.
Astrocaryum paramaca;Accepted;Arecaceae;Astrocaryum;paramaca;Astrocaryum paramaca;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Hibert, F., Sabatier, D., Andrivot, J., Scotti-Saintagne, C., Gonzalez, S., Prévost, M. F., ... & Richard-Hansen, C. (2011). Botany, genetics and ethnobotany: a crossed investigation on the elusive tapir's diet in French Guiana. PLoS One, 6(10).
Attalea attaleoides;Accepted;Arecaceae;Attalea;attaleoides;Attalea attaleoides;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Hibert, F., Sabatier, D., Andrivot, J., Scotti-Saintagne, C., Gonzalez, S., Prévost, M. F., ... & Richard-Hansen, C. (2011). Botany, genetics and ethnobotany: a crossed investigation on the elusive tapir's diet in French Guiana. PLoS One, 6(10).
Attalea humilis;Accepted;Arecaceae;Attalea;humilis;Attalea humilis;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Seibert, J. B. (2015). Padrão de frugivoria de Tapirus terrestris na Mata Atlântica do norte do Espírito Santo, Brasil (Doctoral dissertation, Dissertação de mestrado em Biologia Animal. Universidade Federal do Espírito Santo, Espírito Santo, Brasil).
Maximilia maripa;Typo/Synonym;Arecaceae;Attalea;maripa;Attalea maripa;Ateles;Ateles belzebuth;NA;NA;;NA;NA;NA;NA;NA;Castellanos, H. G., & Chanin, P. (1996).Â Seasol Differences in Food Choice and Patch Preference of Long-Haired Spider Monkeys (Ateles belzebuth). Adaptive Radiations of Neotropical Primates, 451â€“466.Â doi:10.1007/978-1-4419-8770-9_26Â 
Maximilia maripa;Typo/Synonym;Arecaceae;Attalea;maripa;Attalea maripa;Ateles;Ateles chamek;NA;NA;;NA;NA;NA;NA;NA;Wallace, R. B. (2005).Â Seasol Variations in Diet and Foraging Behavior of Ateles chamek in a Southern Amazonian Tropical Forest. Intertiol Jourl of Primatology, 26(5), 1053â€“1075.Â doi:10.1007/s10764-005-6458-4Â 
Attalea phalerata;Accepted;Arecaceae;Attalea;phalerata;Attalea phalerata;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Quiroga?Castro, V. D., & Roldán, A. I. (2001). The Fate of Attalea phalerata (Palmae) Seeds Dispersed to a Tapir Latrine 1. Biotropica, 33(3), 472-477.
Attalea phalerata;Accepted;Arecaceae;Attalea;phalerata;Attalea phalerata;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Zorzi, B. T. (2009). Frugivoria por Tapirus terrestris em três regiões do Pantanal, Brasil.
Attalea phalerata;Accepted;Arecaceae;Attalea;phalerata;Attalea phalerata;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Zorzi, B. T. (2009). Frugivoria por Tapirus terrestris em três regiões do Pantanal, Brasil.
Attalea rostrata;Synonym;Arecaceae;Attalea;rostrata;Attalea rostrata;Tapirus;Tapirus bairdii;NA;NA;;NA;NA;NA;NA;NA;O'FARRILL, G., Galetti, M., & CAMPOS?ARCEIZ, A. (2013). Frugivory and seed dispersal by tapirs: an insight on their ecological role. Integrative zoology, 8(1), 4-17.
Bactris hirta;Accepted;Arecaceae;Bactris;hirta;Bactris hirta;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Tobler, M. W., Janovec, J. P., & Cornejo, F. (2010). Frugivory and seed dispersal by the lowland tapir Tapirus terrestris in the Peruvian Amazon. Biotropica, 42(2), 215-222.
Bactris major;Synonym;Arecaceae;Bactris;major;Bactris major;Tapirus;Tapirus bairdii;NA;NA;;NA;NA;NA;NA;NA;O'FARRILL, G., Galetti, M., & CAMPOS?ARCEIZ, A. (2013). Frugivory and seed dispersal by tapirs: an insight on their ecological role. Integrative zoology, 8(1), 4-17.
Barcella odora;Accepted;Arecaceae;Barcella;odora;Barcella odora;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Barcelos, A. R., Bobrowiec, P. E. D., Sanaiotti, T. M., & Gribel, R. (2013). Seed germination from lowland tapir (Tapirus terrestris) fecal samples collected during the dry season in the northern Brazilian Amazon. Integrative zoology, 8(1), 63-73.
Mussatia hyacinthine;Synonym;Bignoniaceae;Bignonia;hyacinthina;Bignonia hyacinthina;Ateles;Ateles chamek;NA;NA;;NA;NA;NA;NA;NA;Wallace, R. B. (2005).Â Seasol Variations in Diet and Foraging Behavior of Ateles chamek in a Southern Amazonian Tropical Forest. Intertiol Jourl of Primatology, 26(5), 1053â€“1075.Â doi:10.1007/s10764-005-6458-4Â 
Taecium nocturnum;Typo/Synonym;Bignoniaceae;Bignonia;nocturna;Bignonia nocturna;Ateles;Ateles spp.;NA;NA;;NA;NA;NA;NA;NA;Russo, S. E., Campbell, C. J., Dew, J. L., Stevenson, P. R., & Suarez, S. A. (2005). A multi-forest comparison of dietary preferences and seed dispersal by Ateles spp.Â Intertiol jourl of Primatology,Â 26(5), 1017-1037.
Cupania prisca;Synonym;Sapindaceae;Blomia;prisca;Blomia prisca;Ateles;Ateles geoffroyi;NA;NA;;NA;NA;NA;NA;NA;Cant, J. G. H. (1990).Â Feeding ecology of spider monkeys (Ateles geoffroyi) at Tikal, Guatemala. Human Evolution, 5(3), 269â€“281.Â doi:10.1007/bf02437243Â 
Bromelia balansae;Accepted;Bromeliaceae;Bromelia;balansae;Bromelia balansae;Tapirus;Tapirus terrestris;8;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
